CardCode,CardName,GroupCode,Address,ZipCode,MailAddres,CntctPrsn,City
50691,הרש ייבוא ושיווק קרמיקה בעמ,117,ת.ד 3389,44915,ת.ד 3389,בעל העסק,טירה
50680,טופז חומרי בנין בעמ (בת-ים),109,מנחם יקואל 4,NULL,מנחם יקואל 4,טופז גיול,בת ים
50140,הום  סנטר בארות יצחק,114,טוליפמן 7,NULL,-,NULL,ראשון לציון
50031,אזיקרי מונדיאל קרמיקה בעמ,103,ת.ד 4331,7514202,דרך בן צבי 43,NULL,ראשון לציון
50224,יעקב חרש בעמ -בני ברק,131,הבנאי 12,5885006,"לח""""י 25 ( מול דיזיין סנטר)",מייל הזמנות,חולון
50468,לקוחות מזדמנים מישל,107,לב הארץ,NULL,NULL,NULL,NULL
50712,שורמן שניר בעמ,109,משק 46,8549200,הזורע 10,גיול,מושב דקל
50677,לקוחות מזדמנים אדיר,107,NULL,NULL,-,NULL,NULL
50137,הום סנטר אשדוד,114,טוליפמן 7,NULL,האורגים א.ת קלה,"מייל תמ""ש",ראשון לציון
50377,קרמיקה בשאראת בהיג בעמ,130,ת.ד 924,16955,יפיע,"מייל תמ""ש",יפיע
50077,מולטי ריטייל גרופ בעמ - חולון סניף 18,123,גליס 9 צומת סגולה,NULL,מתחם פרופיט המרכבה פינת הקישור  א.ת,מייל בירור הזמנות,פתח תקווה
50017,אבי עלית השקעות בעמ,130,המלאכה 6,5881503,המלאכה 6,גיול,חולון
50111,בר עמי 1990 בעמ ( מישור אדומים),103,האומן 25- תלפיות,9342116,האומן 25- תלפיות,NULL,ירושלים
50663,סטודיו קרמיקה בעמ (סניף בית שמש),103,-,NULL,העמל 1,בן,NULL
50372,קרמיק דיפו (רמפה),113,ת.ד 2195,84874,משק 25 שדה עיזיהו,עמיר לוי,באר שבע
50289,משיח קרמיקה בעמ,109,לזרוב 27,75654,לזרוב 27,משיח גיול,ראשון לציון
50687,טוטאל דור בעמ,109,"אצ""ל 33",NULL,"אצ""ל 33",גיול,ראשון לציון
50253,מ. דוכי יבוא ושיווק (1975)(2009) בעמ - סכנין,110,ת.ד 1,30810,-,גיול,סכנין
50615,ארט אין מטבחים בעמ,109,המסגר 3,NULL,המסגר 3,ארט אין גיול,עין נקובא
50628,דיזנגוף 89 בעמ,107,דיזנגוף 89,NULL,דיזנגוף 89,בעלים,תל אביב
50174,הום סנטר בעמ (עפולה),114,טוליפמן 7,NULL,-,NULL,ראשון לציון
50047,מולטי ריטייל גרופ בעמ - בית שמש סניף 72,123,גליס 9 צומת סגולה,NULL,-,מייל בירור הזמנות,פתח תקווה
70001,דניאל סיטון,107,שמואל עזר 15 א',NULL,NULL,NULL,קרית אתא
50532,נגב קרמיקה -רפפורט פת,113,NULL,NULL,חיים סוטין 4,NULL,NULL
50063,המרכז לחומרי בנין אדר בעמ,130,ברקת 8,26518,ברקת 8,אדר ת.משלוח,נתניה
50021,אבן חן ריצופים בעמ,117,"""צה""""ל 39""",NULL,"צה""""ל 39",NULL,אשקלון
50288,משאבות הים האדום בעמ ח.פ (512344516),109,ת.ד 1331,NULL,אספקה לרח' אלטלנה 16 ראשון לציון,"עדי הנה""ח",אילת
50640,לה-גור יבוא ושיווק כלים סניטריים,117,בני ברמן 7,NULL,בני ברמן 7,אלי גור,נתניה
